donde_estas_trabajando,dedicacion,tipo_de_contrato,ultimo_salario_mensual_o_retiro_bruto_en_tu_moneda_local,trabajo_de,anos_de_experiencia,plataformas_que_utilizas_en_tu_puesto_actual,lenguajes_de_programacion_o_tecnologias_que_utilices_en_tu_puesto_actual,frameworksherramientas_y_librerias_que_utilices_en_tu_puesto_actual,bases_de_datos,qa_testing,tengo_edad,me_identifico_genero,seniority
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2500000,Consultant,17,SAP,ABAP,"SAP, SAP Hana",HANA,Ninguna de las anteriores,67,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2459465,Manager / Director,7,"JIRA, Airtable",Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,30,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1129000,Developer,6,"Amazon Web Services, Docker, Linux","Javascript, PHP, SQL, TypeScript",React.js,"MariaDB, MySQL","JUnit, PHPUnit",27,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3300000,BI Analyst / Data Analyst,13,Ninguna de las anteriores,SQL,Ninguno de los anteriores,Google Cloud Storage,Ninguna de las anteriores,32,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),795000,Consultant,1,Google Cloud Platform,SQL,Ninguno de los anteriores,Google Cloud Storage,Ninguna de las anteriores,27,Mujer Cis,Junior
Santa Fe,Full-Time,Staff (planta permanente),2384000,BI Analyst / Data Analyst,2,Qlik,"SQL, Qlik",Ninguno de los anteriores,"Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server",Ninguna de las anteriores,37,Hombre Cis,Junior
Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1665353,Developer,8,"Docker, Kubernetes, Linux","Bash/Shell, Go, Javascript, TypeScript","Next.js, Node.js, React.js",MongoDB,Jest,28,Hombre Cis,Senior
Córdoba,Full-Time,Staff (planta permanente),1587500,QA / Tester,5,"Amazon Web Services, Azure",Ninguno de los anteriores,Ninguno de los anteriores,MySQL,Postman,34,Mujer Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1077916,Networking,8,Linux,Bash/Shell,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,31,Hombre Cis,Senior
Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1800000,Scrum Master,2,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,24,Hombre Cis,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1393000,Data Scientist,2,"Amazon Web Services, IBM Cloud / Watson","Python, SQL",Ninguno de los anteriores,Oracle,Ninguna de las anteriores,37,Hombre Cis,Junior
Buenos Aires,Full-Time,Staff (planta permanente),1070000,Developer,2,Azure,".NET, C#, CSS, HTML, Javascript, SQL, TypeScript",".NET Core, Angular, Bootstrap, jQuery, Node.js","Microsoft SQL Server, MySQL, PostgreSQL",Ninguna de las anteriores,31,Hombre Cis,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1645000,Business Analyst,3,apis,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,28,Hombre Cis,Semi-Senior
Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1500000,SysAdmin / DevOps / SRE,7,"Docker, Kubernetes, Linux, OpenShift, OpenStack","Bash/Shell, Java, Javascript, Python, SQL","Angular, Cordova","Microsoft Azure (Tables, CosmosDB, SQL, etc), PostgreSQL, Teradata",Ninguna de las anteriores,45,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1318644,HelpDesk,8,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,30,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,1300000,Consultant,2,Azure,"HTML, Kotlin, TypeScript",Node.js,"Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, MySQL","Cypress, Postman",27,Hombre Cis,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1376266,SysAdmin / DevOps / SRE,4,"Azure, Docker, Kubernetes, Linux, Windows Server","Python, SQL",Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,32,Hombre Cis,Semi-Senior
Córdoba,Full-Time,Staff (planta permanente),2300000,BI Analyst / Data Analyst,3,Google Cloud Platform,SQL,Ninguno de los anteriores,Google Cloud Storage,Ninguna de las anteriores,29,Mujer Cis,Semi-Senior
Río Negro,Full-Time,Staff (planta permanente),1800000,Developer,7,"Amazon Web Services, Docker, Linux, OpenShift, Serverless","Java, TypeScript","Hibernate, Next.js, Node.js, Spring","MySQL, Oracle, PostgreSQL",JUnit,46,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),944393,Infosec,2,Ninguna de las anteriores,SQL,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,28,Mujer Cis,Junior
Santa Fe,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1052000,QA / Tester,6,Ninguna de las anteriores,"HTML, SQL",Ninguno de los anteriores,Microsoft SQL Server,SoapUI,28,Hombre Cis,Senior
Córdoba,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1990675,Data Engineer,2,"Amazon Web Services, Firebase, Google Cloud Platform, Windows Server","SQL, TypeScript","Angular, Cordova, Node.js","Amazon DynamoDB, Amazon Redshift, Google Cloud Storage, Microsoft Azure (Tables, CosmosDB, SQL, etc), Teradata",Ninguna de las anteriores,34,Hombre Cis,Junior
Buenos Aires,Full-Time,Staff (planta permanente),1900000,Developer,2,"Amazon Web Services, Docker","Javascript, SQL, TypeScript",Node.js,"Amazon DynamoDB, Amazon RDS/Aurora, PostgreSQL",Postman,23,Hombre Cis,Junior
Santa Fe,Full-Time,Staff (planta permanente),2658000,Architect,20,"Azure, Linux, VMWare, Windows Server",Ninguno de los anteriores,Ninguno de los anteriores,"Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, Oracle",Ninguna de las anteriores,42,Hombre Cis,Senior
Buenos Aires,Part-Time,Staff (planta permanente),530000,BI Analyst / Data Analyst,0,Veeva system,Excel,Ninguno de los anteriores,"Excel, oracle,workbench",Ninguna de las anteriores,21,Hombre Cis,Junior
Ciudad Autónoma de Buenos Aires,Part-Time,Freelance,1000000,Developer,3,"Firebase, Google Cloud Platform, Linux","Javascript, Python","Node.js, React.js","Google Cloud Storage, MySQL",Jest,28,Hombre Cis,Semi-Senior
Mendoza,Part-Time,Contractor,330484.93,Developer,2,Windows Server,".NET, C#, Javascript",".NET Core, React.js",Microsoft SQL Server,Ninguna de las anteriores,25,Mujer Cis,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1400000,SysAdmin / DevOps / SRE,10,"Amazon Web Services, Azure, Linux, VMWare, Windows Server",Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,32,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1665806,Infosec,8,"Amazon Web Services, Azure, Docker, Google Cloud Platform, Kubernetes, Linux, SAP, Solaris, VMWare, Windows Server","Bash/Shell, C#, HTML, Javascript, PHP, SQL","Angular, Node.js, SAP, SAP Hana",Ninguna de las anteriores,Ninguna de las anteriores,34,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1873530,BI Analyst / Data Analyst,35,"Amazon Web Services, Google Cloud Platform, Linux, VMWare, Windows Server","COBOL, HTML, Python, SQL, VBA","HTMX, TensorFlow","Google Cloud Storage, Microsoft SQL Server, MySQL, Oracle","JUnit, Katalon, Postman, Selenium",55,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1500000,Data Engineer,27,"Google Cloud Platform, Kubernetes, Serverless, VMWare","Bash/Shell, HTML, Javascript, Python, SQL","Hadoop, TensorFlow, WordPress","Google Cloud Storage, Microsoft SQL Server, MySQL, PostgreSQL",Ninguna de las anteriores,46,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),930000,Business Analyst,3,"Azure, SAP, Windows Server","SQL, VBA","SAP, SAP Hana","HANA, MySQL",Ninguna de las anteriores,25,Mujer Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4600000,Architect,20,"Amazon Web Services, Azure, Docker, Kubernetes, Linux, OpenShift, Serverless","Bash/Shell, Python",Ninguno de los anteriores,"ElasticSearch, MariaDB, PostgreSQL","Postman, Selenium",43,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1000000,Developer,3,Ninguna de las anteriores,".NET, C#",.NET Core,Microsoft SQL Server,Ninguna de las anteriores,45,Hombre Cis,Semi-Senior
Córdoba,Full-Time,Staff (planta permanente),451335,Designer,4,Figma,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,24,Mujer Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),500000,Developer,18,"Amazon Web Services, Arduino o similar, Linux, Microcontroladores",".NET, Arduino, Assembler, C, C++, Javascript, PHP, Python, SQL, TypeScript","Flask, Node.js, Vue.js","Microsoft SQL Server, MySQL, SQLite",PHPUnit,37,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),550000,BI Analyst / Data Analyst,0,"*BSD, PBi Alteryx",Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,31,Mujer Cis,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1333073,Functional Analyst,2,Windows Server,SQL,Ninguno de los anteriores,Microsoft SQL Server,Ninguna de las anteriores,24,Mujer Cis,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1600000,Developer,2,Mainframe,"Java, Javascript, SQL","Bootstrap, jQuery, Spring","IBM Db2, Sybase","Jest, JUnit",23,Mujer Cis,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),910000,UX Writer,5,Ninguna de las anteriores,"CSS, HTML, Javascript, PHP, SQL, TypeScript","Angular, Bootstrap, Cordova, jQuery, Laravel","MySQL, SQLite",Ninguna de las anteriores,24,Hombre Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1854952,Developer,4,"Docker, Linux","Java, Javascript, Kotlin, Scala, SQL, TypeScript","Angular, Bootstrap, React.js, Spring","MariaDB, Microsoft SQL Server, MySQL, Oracle, PostgreSQL, Redis, SQLite","Cypress, Jest, JUnit",31,Hombre Cis,Semi-Senior
Buenos Aires,Full-Time,Staff (planta permanente),1141588.46,DBA (Database Administrator),3,"Linux, Windows Server","Java, SQL, Oracle ",Oracle,"MariaDB, MySQL, Oracle",Ninguna de las anteriores,29,Mujer Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Part-Time,Staff (planta permanente),1245386,SysAdmin / DevOps / SRE,25,"Docker, Linux, VMWare, Windows Server",Ninguno de los anteriores,Ninguno de los anteriores,"MariaDB, Microsoft SQL Server, MySQL, PostgreSQL",Ninguna de las anteriores,45,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),700000,Developer,6,Amazon Web Services,"Arduino, C#",.NET Core,MySQL,Ninguna de las anteriores,31,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1000000,HelpDesk,10,"Docker, Google Cloud Platform, IBM Cloud / Watson, Linux, OpenStack, VMWare, Windows Server",Python,Ninguno de los anteriores,Google Cloud Storage,Ninguna de las anteriores,38,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2072000,Developer,6,Amazon Web Services,Go,Ninguno de los anteriores,SQLite,Ninguna de las anteriores,27,Mujer Cis,Senior
Buenos Aires,Full-Time,Staff (planta permanente),1331000,Developer,1,"Amazon Web Services, Azure, Docker, Firebase, Google Cloud Platform, Serverless","HTML, Javascript, PHP, SQL, TypeScript","Angular, Bootstrap, Node.js, Vue.js, Nest.js, CakePHP, Capacitor, Vuetify.","Google Cloud Storage, Microsoft Azure (Tables, CosmosDB, SQL, etc), MySQL","Jest, Karma, Mocha, Postman",31,Hombre Cis,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1086004,SysAdmin / DevOps / SRE,2,"VMWare, Windows Server",Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,38,Hombre Cis,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1535241,QA / Tester,6,Ninguna de las anteriores,"CSS, HTML, SQL","Angular, WordPress",Oracle,Postman,29,Mujer Cis,Senior
Buenos Aires,Full-Time,Staff (planta permanente),600000,Functional Analyst,3,"Azure, Windows Server",SQL,Ninguno de los anteriores,"Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server",Ninguna de las anteriores,27,Hombre Cis,Semi-Senior
Tucumán,Full-Time,Staff (planta permanente),700000,Networking,0,"Linux, VMWare, Windows Server",SQL,Ninguno de los anteriores,Microsoft SQL Server,Ninguna de las anteriores,28,Mujer Cis,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1546263,Developer,3,Docker,"CSS, HTML, Java, SQL, TypeScript","Angular, Bootstrap, Hibernate","Oracle, PostgreSQL",Ninguna de las anteriores,29,Hombre Cis,Semi-Senior
Entre Ríos,Full-Time,Contractor,1300000,Developer,4,"Amazon Web Services, Docker, Linux",Python,"Django, Flask",PostgreSQL,Ninguna de las anteriores,29,Hombre Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2276800,Manager / Director,3,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,31,Mujer Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),683132,Technical Leader,4,"Kubernetes, Linux, Microcontroladores, OpenStack, VMWare, Windows Server","CSS, HTML, Javascript, Python, SQL",Flask,"MySQL, SQLite","Postman, Selenium, Visual Studio Coded UI",32,Hombre Cis,Semi-Senior
Santa Fe,Full-Time,Staff (planta permanente),5109100,Manager / Director,8,Google Cloud Platform,Bash/Shell,Ninguno de los anteriores,"Google Cloud Storage, PostgreSQL",Ninguna de las anteriores,35,Hombre Cis,Senior
Buenos Aires,Full-Time,Staff (planta permanente),656322,UX Designer,1,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,28,Hombre Cis,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1600000,Infosec,5,"Amazon Web Services, Windows Server","Python, SQL, VBA",Spark,"Microsoft SQL Server, Oracle, PostgreSQL",Ninguna de las anteriores,24,Hombre Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),6100000,Manager / Director,26,"Azure, VMWare, Windows Server",Ninguno de los anteriores,Ninguno de los anteriores,Microsoft SQL Server,Ninguna de las anteriores,51,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1900000,Developer,1,Ninguna de las anteriores,Java,Spring,"Microsoft SQL Server, MongoDB","Cucumber, JUnit, Postman, Selenium",28,Mujer Cis,Junior
Buenos Aires,Full-Time,Staff (planta permanente),908662,Developer,1,Azure,".NET, CSS, HTML, Javascript, Cshtml",React.js,No aplica a mi trabajo,No aplica a mis tareas,40,Mujer Cis,Junior
Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),745032,QA / Tester,3,Ninguna de las anteriores,SQL,Ninguno de los anteriores,"IBM Db2, Microsoft SQL Server","Postman, SoapUI",32,Mujer Cis,Semi-Senior
San Luis,Full-Time,Staff (planta permanente),700000,HelpDesk,12,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,43,Mujer Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1500000,Manager / Director,25,"Arduino o similar, Google Cloud Platform, Microcontroladores, VMWare, Windows Server",Ninguno de los anteriores,Ninguno de los anteriores,"Google Cloud Storage, Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, MySQL",Ninguna de las anteriores,55,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2300000,UX Designer,4,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,32,Mujer Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2470000,SysAdmin / DevOps / SRE,5,"Amazon Web Services, Docker, Kubernetes, Linux, Serverless","Bash/Shell, Javascript, Python, SQL, TypeScript",Node.js,"Amazon DynamoDB, Amazon RDS/Aurora, ElasticSearch, MongoDB, MySQL, PostgreSQL, Redis",Postman,32,Mujer Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1650000,Developer,3,"Amazon Web Services, Docker, Linux","HTML, Java, Python, SQL",Flask,MySQL,Ninguna de las anteriores,30,Hombre Cis,Semi-Senior
Santa Fe,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1400000,Developer,8,"Azure, SAP, Windows Server",".NET, C#, Python",".NET Core, SAP Hana","Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server","Postman, Visual Studio Coded UI",29,Hombre Cis,Senior
Mendoza,Full-Time,Staff (planta permanente),2850000,Developer,4,"Amazon Web Services, Docker, Firebase, Kubernetes","Javascript, TypeScript","Node.js, React.js","Amazon DynamoDB, Amazon RDS/Aurora, MongoDB, PostgreSQL",Ninguna de las anteriores,28,Hombre Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),617911.23,BI Analyst / Data Analyst,9,QlikView y QlikSense,Ninguno de los anteriores,Ninguno de los anteriores,Microsoft SQL Server,Ninguna de las anteriores,28,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2369663,Technical Leader,7,"Azure, Docker, OpenShift",".NET, C#, CSS, HTML, Javascript, SQL, TypeScript",".NET Core, Next.js, React.js","ElasticSearch, Microsoft SQL Server, MongoDB","Jest, Xunit",28,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),952000,BI Analyst / Data Analyst,1,Azure,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,27,Mujer Cis,Junior
Buenos Aires,Full-Time,Staff (planta permanente),1854758,Manager / Director,10,Ninguna de las anteriores,".NET, SQL",.NET Core,Microsoft SQL Server,Ninguna de las anteriores,44,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),750000,Developer,2,"Docker, Linux",".NET, C#, Javascript, SQL, TypeScript",".NET Core, Angular, Node.js",PostgreSQL,Ninguna de las anteriores,34,Hombre Cis,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1450000,Developer,4,Windows Server,"CSS, Groovy, HTML, Javascript, SQL, TypeScript","Angular, Bootstrap, jQuery",Ninguna de las anteriores,Ninguna de las anteriores,23,Hombre Cis,Semi-Senior
Córdoba,Part-Time,Freelance,450000,Developer,9,Ninguna de las anteriores,"CSS, HTML, Javascript, PHP",jQuery,Ninguna de las anteriores,Ninguna de las anteriores,36,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),737080,BI Analyst / Data Analyst,3,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Microsoft SQL Server,Ninguna de las anteriores,28,Mujer Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1264240,Developer,3,Linux,"Bash/Shell, CSS, HTML, Javascript, PHP, TypeScript","jQuery, Next.js, Node.js, React.js, WordPress","MySQL, PostgreSQL",Ninguna de las anteriores,27,Hombre Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1470000,Consultant,20,"Amazon Web Services, Azure, Linux, Windows Server","HTML, SQL",".NET Core, Bootstrap","Microsoft SQL Server, MySQL, SQLite",Ninguna de las anteriores,50,Hombre Cis,Senior
Buenos Aires,Full-Time,Staff (planta permanente),3459000,Technical Leader,15,Oracle EBS,"Java, SQL, PL SQL",Ninguno de los anteriores,Oracle,Ninguna de las anteriores,35,Hombre Cis,Senior
Santa Fe,Full-Time,Staff (planta permanente),3468301.71,Technical Leader,12,"Docker, Google Cloud Platform, Linux, OpenShift","Java, Javascript, SQL","Hibernate, Next.js, React.js, Spring","Oracle, PostgreSQL","JUnit, Postman",39,Hombre Cis,Senior
Mendoza,Full-Time,Staff (planta permanente),720000,Developer,2,"Amazon Web Services, Docker, Linux, Microcontroladores","Javascript, Ruby",Rails,"MariaDB, MySQL",Ninguna de las anteriores,23,Hombre Cis,Junior
Buenos Aires,Full-Time,Staff (planta permanente),490000,SysAdmin / DevOps / SRE,10,"Azure, VMWare, Windows Server",Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,33,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1300000,Developer,4,"Amazon Web Services, Docker, Kubernetes, Linux, Microcontroladores","CSS, HTML, Javascript, Python, SQL, TypeScript","Bootstrap, Flask, React.js","ElasticSearch, MySQL, PostgreSQL","Jest, Postman, Selenium, vitest",25,Hombre Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2670960,Scrum Master,15,"Azure, Docker, Kubernetes, Linux, OpenShift, VMWare, Windows Server","Python, SQL",Ninguno de los anteriores,MySQL,Ninguna de las anteriores,37,Prefiero no decir,Senior
Ciudad Autónoma de Buenos Aires,Part-Time,Staff (planta permanente),1063500,Developer,4,Amazon Web Services,".NET, C#, HTML, Javascript, Python, SQL, TypeScript",".NET Core, Node.js, React.js","Microsoft SQL Server, PostgreSQL",Postman,26,Hombre Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1388154,Developer,3,Linux,"Javascript, TypeScript","Bootstrap, React.js","ElasticSearch, MongoDB, MySQL",Ninguna de las anteriores,31,Mujer Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1100000,Developer,20,"AIX, Windows Server",".NET, C#, SQL, VBA",.NET Core,Sybase,"SoapUI, TFS",53,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),615381,QA / Tester,0,Azure,Java,Ninguno de los anteriores,Ninguna de las anteriores,"Cucumber, Lippia, Postman, Selenium",28,Mujer Cis,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4500000,Manager / Director,15,"Google Cloud Platform, Kubernetes",Java,"Next.js, React.js, Spring","ElasticSearch, MongoDB, MySQL, Redis",JUnit,40,Hombre Cis,Senior
Córdoba,Full-Time,Staff (planta permanente),1596000,Developer,6,"Amazon Web Services, Docker, Kubernetes, Linux, digital ocean","HTML, Python, SQL",odoo,PostgreSQL,Ninguna de las anteriores,40,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,418000,Developer,4,"Docker, Linux","Bash/Shell, CSS, Go, HTML, SQL, TypeScript","Angular, Bootstrap, Node.js","MySQL, Redis","Postman, Visual Studio Coded UI",28,Mujer Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1300000,BI Analyst / Data Analyst,4,databricks,"Python, SQL",Ninguno de los anteriores,"Amazon Redshift, Google Cloud Storage, Oracle, databricks",Ninguna de las anteriores,39,Hombre Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Part-Time,Staff (planta permanente),780172,Infosec,0,"Azure, Linux, SAP, Windows Server, Active directory, trend, Microsoft defender",Bash/Shell,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,21,Hombre Cis,Junior
Tucumán,Full-Time,Staff (planta permanente),1085000,SysAdmin / DevOps / SRE,25,"Azure, Google Cloud Platform, SAP, VMWare, Windows Server",Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,47,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1800000,BI Analyst / Data Analyst,0,Windows Server,SQL,Ninguno de los anteriores,"Microsoft SQL Server, Teradata",Ninguna de las anteriores,35,Mujer Cis,Junior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1900000,Developer,5,Linux,"Bash/Shell, SQL",Hadoop,Oracle,Ninguna de las anteriores,33,Mujer Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1300000,Developer,12,Amazon Web Services,".NET, C#, CSS, HTML, Javascript, SQL, TypeScript","Angular, jQuery",Microsoft SQL Server,"Postman, TFS",32,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),666000,Consultant,0,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,23,Hombre Cis,Junior
Santa Fe,Full-Time,Staff (planta permanente),2103000,Architect,18,Ninguna de las anteriores,SQL,SAP,Microsoft SQL Server,"Postman, SoapUI",40,Hombre Cis,Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1800000,BI Analyst / Data Analyst,5,"Amazon Web Services, Azure, Google Cloud Platform, OpenStack, Serverless, Windows Server",".NET, Assembler, C#, HTML, Javascript, PHP, Python, SQL",".NET Core, Angular, Bootstrap, Node.js, React.js, SAP","Google Cloud Storage, MariaDB, Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, MongoDB, MySQL, PostgreSQL, ProxySQL, SQLite",Postman,35,Hombre Cis,Semi-Senior
Córdoba,Full-Time,Staff (planta permanente),851478.31,QA / Tester,3,OpenShift,"SQL, pgAdmin",jQuery,PL/SQL y pgAdmin,"Cypress, Postman, SoapUI, Visual Studio Coded UI",34,Mujer Cis,Semi-Senior
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1240300,Consultant,4,"Google Cloud Platform, PeopleSoft",SQL,Ninguno de los anteriores,Microsoft SQL Server,Ninguna de las anteriores,36,Hombre Cis,Semi-Senior
Córdoba,Full-Time,Staff (planta permanente),1600000,Business Analyst,30,"Amazon Web Services, Linux",SQL,Ninguno de los anteriores,Oracle,Ninguna de las anteriores,56,Hombre Cis,Senior
Santa Fe,Full-Time,Staff (planta permanente),2400000,Manager / Director,18,"Docker, Google Cloud Platform, Kubernetes, VMWare, Windows Server","PHP, SQL","Angular, Node.js, React.js",MySQL,Ninguna de las anteriores,48,Hombre Cis,Senior
